Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Makarska,40,13834,Šibensko-kninska
Istarska,2813,208055,Pazin,10,31,Valter Flego,73.96,41,da,Rovinj,79,14234,Primorsko-goranska
Vukovarsko-srijemska,2454,179521,Vukovar,5,26,Damir Dekanić,73.15,37,ne,Županja,89,12090,Brodsko-posavska
Vukovarsko-srijemska,2454,179521,Vukovar,5,26,Damir Dekanić,73.15,37,ne,Županja,89,12090,Osječko-baranjska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Petrinja,41,24671,Brodsko-posavska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Petrinja,41,24671,Požeško-slavonska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Petrinja,41,24671,Bjelovarsko-bilogorska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Petrinja,41,24671,Zagrebačka
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Petrinja,41,24671,Karlovačka
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Kutina,294,22760,Brodsko-posavska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Kutina,294,22760,Požeško-slavonska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Kutina,294,22760,Bjelovarsko-bilogorska
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Kutina,294,22760,Zagrebačka
Sisačko-moslavačka,4468,172439,Sisak,7,12,Ivo Žinić,38.59,39,ne,Kutina,294,22760,Karlovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Samobor,250,37633,Varaždinska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Samobor,250,37633,Bjelovarsko-bilogorska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Samobor,250,37633,Krapinsko-zagorska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Samobor,250,37633,Sisačko-moslovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Samobor,250,37633,Karlovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Samobor,250,37633,Grad Zagreb
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Solin,18,23926,Dubrovačko-neretvanska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Solin,18,23926,Šibensko-kninska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Zaprešić,52,25223,Varaždinska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Zaprešić,52,25223,Bjelovarsko-bilogorska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Zaprešić,52,25223,Krapinsko-zagorska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Zaprešić,52,25223,Sisačko-moslovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Zaprešić,52,25223,Karlovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Zaprešić,52,25223,Grad Zagreb
Osječko-baranjska,4155,305032,Osijek,7,35,Ivan Anušić,73.41,47,ne,Đakovo,170,27745,Vukovarsko-srijemska
Osječko-baranjska,4155,305032,Osijek,7,35,Ivan Anušić,73.41,47,ne,Đakovo,170,27745,Brodsko-posavska
Osječko-baranjska,4155,305032,Osijek,7,35,Ivan Anušić,73.41,47,ne,Đakovo,170,27745,Požeško-slavonska
Osječko-baranjska,4155,305032,Osijek,7,35,Ivan Anušić,73.41,47,ne,Đakovo,170,27745,Virovitičko-podravska
Vukovarsko-srijemska,2454,179521,Vukovar,5,26,Damir Dekanić,73.15,37,ne,Vinkovci,94,32029,Brodsko-posavska
Vukovarsko-srijemska,2454,179521,Vukovar,5,26,Damir Dekanić,73.15,37,ne,Vinkovci,94,32029,Osječko-baranjska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Velika Gorica,552,63517,Varaždinska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Velika Gorica,552,63517,Bjelovarsko-bilogorska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Velika Gorica,552,63517,Krapinsko-zagorska
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Velika Gorica,552,63517,Sisačko-moslovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Velika Gorica,552,63517,Karlovačka
Zagrebačka,3060,317606,Zagreb,9,25,Stjepan Kožić,193.79,48,ne,Velika Gorica,552,63517,Grad Zagreb
Istarska,2813,208055,Pazin,10,31,Valter Flego,73.96,41,da,Pula,52,57460,Primorsko-goranska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Kaštela,58,43349,Dubrovačko-neretvanska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Kaštela,58,43349,Šibensko-kninska
